,timestamp,date,time,target_label,day,transaction,volume_5min,volume_norm,barsize_5min,barsize_5min_norm,topping_tail,bottoming_tail,inside_wicks,inside_body,sma_90_norm,sma_90_slope,avwap_2day,gap,gap_up
130,2024-06-18 07:35:00,2024-06-18,07:35:00,0,Tuesday,1.0,6333.0,0.2117472407325057,32.0,0.16,0.022,0.0502,1.0,1.0,1.0052,0.0147,-0.054,-0.04,0
131,2024-06-20 07:40:00,2024-06-20,07:40:00,0,Thursday,1.0,33670.0,1.1217724471097785,55.0,0.27,0.0439,0.0122,0.0,1.0,1.0026,-0.0013,0.1562,0.23,1
132,2024-06-21 07:35:00,2024-06-21,07:35:00,0,Friday,1.0,31307.0,1.0461908620790483,38.5,0.19,0.0099,0.1654,1.0,0.0,0.9952,-0.009,-0.064,-0.09,0
133,2024-06-24 07:40:00,2024-06-24,07:40:00,0,Monday,0.0,28316.0,0.9538053180810714,57.0,0.28,0.0335,0.0657,0.0,0.0,0.9961,-0.0019,-0.1433,-0.27,0
134,2024-06-25 07:35:00,2024-06-25,07:35:00,0,Tuesday,0.0,31247.0,1.0731439267101117,26.75,0.13,0.0473,0.0187,1.0,1.0,0.9975,-0.01,-0.0629,0.43,1
135,2024-06-26 07:40:00,2024-06-26,07:40:00,1,Wednesday,1.0,31153.0,1.066604125973846,33.25,0.16,0.1128,0.0149,1.0,1.0,1.0015,0.0047,0.0706,-0.19,0
136,2024-06-27 07:35:00,2024-06-27,07:35:00,0,Thursday,1.0,38489.0,1.3065609803705245,66.25,0.33,0.0247,0.0037,1.0,1.0,1.0009,0.0061,0.2342,-0.07,0
137,2024-06-28 07:35:00,2024-06-28,07:35:00,1,Friday,1.0,32881.0,1.1250213843364012,36.25,0.18,0.0234,0.0135,1.0,0.0,1.0022,0.0053,0.132,0.11,1
138,2024-07-01 07:40:00,2024-07-01,07:40:00,1,Monday,0.0,40409.0,1.3722666902118728,58.5,0.29,0.0742,0.0247,0.0,0.0,0.9952,-0.0061,-0.1391,0.19,1
139,2024-07-03 07:45:00,2024-07-03,07:45:00,1,Wednesday,1.0,38638.0,1.2960400639332357,52.25,0.26,0.0293,0.0012,0.0,0.0,1.0118,0.0147,0.0935,0.83,1
140,2024-07-05 07:35:00,2024-07-05,07:35:00,0,Friday,1.0,34990.0,1.1691861475333147,38.0,0.18,0.081,0.0073,0.0,0.0,1.0129,0.0247,0.1147,0.11,1
141,2024-07-08 07:35:00,2024-07-08,07:35:00,0,Monday,0.0,39396.0,1.3095289538327555,30.5,0.15,0.0635,0.0479,0.0,0.0,1.0035,0.0115,-0.0512,0.05,1
142,2024-07-09 07:35:00,2024-07-09,07:35:00,0,Tuesday,1.0,38278.0,1.2516656230124927,43.25,0.21,0.0036,0.0095,0.0,0.0,1.0042,0.0078,-0.0556,0.27,1
143,2024-07-10 07:35:00,2024-07-10,07:35:00,0,Wednesday,0.0,35929.0,1.1578981291996326,32.5,0.15,0.05,0.0202,1.0,0.0,1.0037,0.0055,-0.0384,0.38,1
144,2024-07-11 07:40:00,2024-07-11,07:40:00,1,Thursday,0.0,42985.0,1.3503537276485593,34.25,0.16,0.0366,0.1064,1.0,0.0,1.0046,0.0117,0.0371,0.0,0
145,2024-07-15 07:35:00,2024-07-15,07:35:00,0,Monday,1.0,37913.0,1.1819445830007982,40.25,0.19,0.0611,0.0455,0.0,0.0,1.0013,-0.0127,0.0844,0.88,1
146,2024-07-16 07:35:00,2024-07-16,07:35:00,0,Tuesday,1.0,35160.0,1.0924564268037105,41.0,0.2,0.0287,0.0873,1.0,0.0,1.0013,0.0094,0.0965,0.27,1
147,2024-07-17 07:35:00,2024-07-17,07:35:00,0,Wednesday,1.0,43360.0,1.3136328796008205,35.0,0.17,0.039,0.0049,0.0,0.0,0.9858,-0.0206,-0.0498,-1.65,0
148,2024-07-18 07:35:00,2024-07-18,07:35:00,1,Thursday,0.0,41684.0,1.2356727737865676,56.75,0.28,0.0392,0.0282,1.0,1.0,1.0001,-0.0261,-0.0286,0.75,1
149,2024-07-19 07:35:00,2024-07-19,07:35:00,0,Friday,1.0,43989.0,1.245923183789885,72.75,0.36,0.0634,0.1629,1.0,0.0,0.9976,-0.0068,0.1856,-0.13,0
150,2024-07-23 07:35:00,2024-07-23,07:35:00,0,Tuesday,1.0,36507.0,0.9916324981223711,47.25,0.23,0.0124,0.1238,0.0,0.0,1.0093,0.0083,0.1416,1.24,1
